Name,Description,IP,FQDN,MAC,Non-Computing,STIGs,Labels,Metadata
Asset 28,Asset28 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label28
Label28","{""key:8"":""value:8""}"
Asset 29,Asset29 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label29
Label29","{""key:9"":""value:9""}"
Asset 30,Asset30 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label30
Label30","{""key:0"":""value:0""}"
Asset 31,Asset31 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label31
Label31","{""key:1"":""value:1""}"
Asset 32,Asset32 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label32
Label32","{""key:2"":""value:2""}"
Asset 33,Asset33 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label33
Label33","{""key:3"":""value:3""}"
Asset 34,Asset34 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label34
Label34","{""key:4"":""value:4""}"
Asset 35,Asset35 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label35
Label35","{""key:5"":""value:5""}"
Asset 36,Asset36 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label36
Label36","{""key:6"":""value:6""}"
Asset 37,Asset37 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label37
Label37","{""key:7"":""value:7""}"
Asset 38,Asset38 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label38
Label38","{""key:8"":""value:8""}"
Asset 39,Asset39 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label39
Label39","{""key:9"":""value:9""}"
Asset 40,Asset40 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label40
Label40","{""key:0"":""value:0""}"
Asset 41,Asset41 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label41
Label41","{""key:1"":""value:1""}"
Asset 42,Asset42 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label42
Label42","{""key:2"":""value:2""}"
Asset 43,Asset43 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label43
Label43","{""key:3"":""value:3""}"
Asset 44,Asset44 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label44
Label44","{""key:4"":""value:4""}"
Asset 45,Asset45 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label45
Label45","{""key:5"":""value:5""}"
Asset 46,Asset46 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label46
Label46","{""key:6"":""value:6""}"
Asset 47,Asset47 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label47
Label47","{""key:7"":""value:7""}"
Asset 48,Asset48 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label48
Label48","{""key:8"":""value:8""}"
Asset 49,Asset49 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label49
Label49","{""key:9"":""value:9""}"
Asset 50,Asset50 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label50
Label50","{""key:0"":""value:0""}"
Asset 51,Asset51 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label51
Label51","{""key:1"":""value:1""}"
Asset 52,Asset52 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label52
Label52","{""key:2"":""value:2""}"
Asset 53,Asset53 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label53
Label53","{""key:3"":""value:3""}"
Asset 54,Asset54 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label54
Label54","{""key:4"":""value:4""}"
Asset 55,Asset55 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label55
Label55","{""key:5"":""value:5""}"
Asset 56,Asset56 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label56
Label56","{""key:6"":""value:6""}"
Asset 57,Asset57 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label57
Label57","{""key:7"":""value:7""}"
Asset 58,Asset58 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label58
Label58","{""key:8"":""value:8""}"
Asset 59,Asset59 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label59
Label59","{""key:9"":""value:9""}"
Asset 60,Asset60 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label60
Label60","{""key:0"":""value:0""}"
Asset 61,Asset61 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label61
Label61","{""key:1"":""value:1""}"
Asset 62,Asset62 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label62
Label62","{""key:2"":""value:2""}"
Asset 63,Asset63 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label63
Label63","{""key:3"":""value:3""}"
Asset 64,Asset64 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label64
Label64","{""key:4"":""value:4""}"
Asset 65,Asset65 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label65
Label65","{""key:5"":""value:5""}"
Asset 66,Asset66 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label66
Label66","{""key:6"":""value:6""}"
Asset 67,Asset67 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label67
Label67","{""key:7"":""value:7""}"
Asset 68,Asset68 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label68
Label68","{""key:8"":""value:8""}"
Asset 69,Asset69 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label69
Label69","{""key:9"":""value:9""}"
Asset 70,Asset70 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label70
Label70","{""key:0"":""value:0""}"
Asset 71,Asset71 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label71
Label71","{""key:1"":""value:1""}"
Asset 72,Asset72 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label72
Label72","{""key:2"":""value:2""}"
Asset 73,Asset73 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label73
Label73","{""key:3"":""value:3""}"
Asset 74,Asset74 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label74
Label74","{""key:4"":""value:4""}"
Asset 75,Asset75 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label75
Label75","{""key:5"":""value:5""}"
Asset 76,Asset76 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label76
Label76","{""key:6"":""value:6""}"
Asset 77,Asset77 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label77
Label77","{""key:7"":""value:7""}"
Asset 78,Asset78 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label78
Label78","{""key:8"":""value:8""}"
Asset 79,Asset79 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label79
Label79","{""key:9"":""value:9""}"
Asset 80,Asset80 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label80
Label80","{""key:0"":""value:0""}"
Asset 81,Asset81 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label81
Label81","{""key:1"":""value:1""}"
Asset 82,Asset82 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label82
Label82","{""key:2"":""value:2""}"
Asset 83,Asset83 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label83
Label83","{""key:3"":""value:3""}"
Asset 84,Asset84 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label84
Label84","{""key:4"":""value:4""}"
Asset 85,Asset85 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label85
Label85","{""key:5"":""value:5""}"
Asset 86,Asset86 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label86
Label86","{""key:6"":""value:6""}"
Asset 87,Asset87 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label87
Label87","{""key:7"":""value:7""}"
Asset 88,Asset88 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label88
Label88","{""key:8"":""value:8""}"
Asset 89,Asset89 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label89
Label89","{""key:9"":""value:9""}"
Asset 90,Asset90 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label90
Label90","{""key:0"":""value:0""}"
Asset 91,Asset91 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label91
Label91","{""key:1"":""value:1""}"
Asset 92,Asset92 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label92
Label92","{""key:2"":""value:2""}"
Asset 93,Asset93 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label93
Label93","{""key:3"":""value:3""}"
Asset 94,Asset94 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label94
Label94","{""key:4"":""value:4""}"
Asset 95,Asset95 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label95
Label95","{""key:5"":""value:5""}"
Asset 96,Asset96 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label96
Label96","{""key:6"":""value:6""}"
Asset 97,Asset97 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label97
Label97","{""key:7"":""value:7""}"
Asset 98,Asset98 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label98
Label98","{""key:8"":""value:8""}"
Asset 99,Asset99 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label99
Label99","{""key:9"":""value:9""}"
Asset 100,Asset100 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label100
Label100","{""key:0"":""value:0""}"
Asset 101,Asset101 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label101
Label101","{""key:1"":""value:1""}"
Asset 102,Asset102 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label102
Label102","{""key:2"":""value:2""}"
Asset 103,Asset103 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label103
Label103","{""key:3"":""value:3""}"
Asset 104,Asset104 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label104
Label104","{""key:4"":""value:4""}"
Asset 105,Asset105 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label105
Label105","{""key:5"":""value:5""}"
Asset 106,Asset106 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label106
Label106","{""key:6"":""value:6""}"
Asset 107,Asset107 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label107
Label107","{""key:7"":""value:7""}"
Asset 108,Asset108 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label108
Label108","{""key:8"":""value:8""}"
Asset 109,Asset109 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label109
Label109","{""key:9"":""value:9""}"
Asset 110,Asset110 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label110
Label110","{""key:0"":""value:0""}"
Asset 111,Asset111 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label111
Label111","{""key:1"":""value:1""}"
Asset 112,Asset112 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label112
Label112","{""key:2"":""value:2""}"
Asset 113,Asset113 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label113
Label113","{""key:3"":""value:3""}"
Asset 114,Asset114 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label114
Label114","{""key:4"":""value:4""}"
Asset 115,Asset115 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label115
Label115","{""key:5"":""value:5""}"
Asset 116,Asset116 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label116
Label116","{""key:6"":""value:6""}"
Asset 117,Asset117 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label117
Label117","{""key:7"":""value:7""}"
Asset 118,Asset118 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label118
Label118","{""key:8"":""value:8""}"
Asset 119,Asset119 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label119
Label119","{""key:9"":""value:9""}"
Asset 120,Asset120 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label120
Label120","{""key:0"":""value:0""}"
Asset 121,Asset121 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label121
Label121","{""key:1"":""value:1""}"
Asset 122,Asset122 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label122
Label122","{""key:2"":""value:2""}"
Asset 123,Asset123 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label123
Label123","{""key:3"":""value:3""}"
Asset 124,Asset124 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label124
Label124","{""key:4"":""value:4""}"
Asset 125,Asset125 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label125
Label125","{""key:5"":""value:5""}"
Asset 126,Asset126 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label126
Label126","{""key:6"":""value:6""}"
Asset 127,Asset127 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label127
Label127","{""key:7"":""value:7""}"
Asset 128,Asset128 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label128
Label128","{""key:8"":""value:8""}"
Asset 129,Asset129 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label129
Label129","{""key:9"":""value:9""}"
Asset 130,Asset130 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label130
Label130","{""key:0"":""value:0""}"
Asset 131,Asset131 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label131
Label131","{""key:1"":""value:1""}"
Asset 132,Asset132 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label132
Label132","{""key:2"":""value:2""}"
Asset 133,Asset133 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label133
Label133","{""key:3"":""value:3""}"
Asset 134,Asset134 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label134
Label134","{""key:4"":""value:4""}"
Asset 135,Asset135 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label135
Label135","{""key:5"":""value:5""}"
Asset 136,Asset136 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label136
Label136","{""key:6"":""value:6""}"
Asset 137,Asset137 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label137
Label137","{""key:7"":""value:7""}"
Asset 138,Asset138 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label138
Label138","{""key:8"":""value:8""}"
Asset 139,Asset139 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label139
Label139","{""key:9"":""value:9""}"
Asset 140,Asset140 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label140
Label140","{""key:0"":""value:0""}"
Asset 141,Asset141 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label141
Label141","{""key:1"":""value:1""}"
Asset 142,Asset142 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label142
Label142","{""key:2"":""value:2""}"
Asset 143,Asset143 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label143
Label143","{""key:3"":""value:3""}"
Asset 144,Asset144 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label144
Label144","{""key:4"":""value:4""}"
Asset 145,Asset145 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label145
Label145","{""key:5"":""value:5""}"
Asset 146,Asset146 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label146
Label146","{""key:6"":""value:6""}"
Asset 147,Asset147 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,False,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label147
Label147","{""key:7"":""value:7""}"
Asset 148,Asset148 Description,1.1.1.1,Asset-f.q.d.n,awdawdwa,True,"VPN_SRG_TEST
Windows_10_STIG_TEST","Label148
Label148","{""key:8"":""value:8""}"
